,model_name,corpus,seed,suite,correct,tag,circuit,correct_delta,has_modifier,test_ppl
124,ordered-neurons,bllip-lg,111,center_embed,0.7142857142857143,center,Center Embedding,-0.017045454545454586,False,56.38
125,ordered-neurons,bllip-lg,111,center_embed_mod,0.42857142857142855,center,Center Embedding,-0.15286796536796537,True,56.38
126,ordered-neurons,bllip-lg,111,cleft,1.0,cleft,Long-Distance Dependencies,0.21856060606060612,False,56.38
127,ordered-neurons,bllip-lg,111,cleft_modifier,0.5,cleft,Long-Distance Dependencies,0.07765151515151508,True,56.38
128,ordered-neurons,bllip-lg,111,fgd_hierarchy,0.6666666666666666,fgd,Long-Distance Dependencies,0.2149621212121211,,56.38
129,ordered-neurons,bllip-lg,111,fgd_object,0.9583333333333334,fgd,Long-Distance Dependencies,0.117739898989899,,56.38
130,ordered-neurons,bllip-lg,111,fgd_pp,0.5,fgd,Long-Distance Dependencies,0.08143939393939392,,56.38
131,ordered-neurons,bllip-lg,111,fgd_subject,0.9583333333333334,fgd,Long-Distance Dependencies,-0.0031565656565656353,,56.38
132,ordered-neurons,bllip-lg,111,mvrr,0.6785714285714286,mvrr,Garden-Path Effects,0.15882034632034636,False,56.38
133,ordered-neurons,bllip-lg,111,mvrr_mod,0.8571428571428571,mvrr,Garden-Path Effects,0.34063852813852813,True,56.38
134,ordered-neurons,bllip-lg,111,npi_orc_any,0.0,npi,Licensing,-0.08094098883572566,,56.38
135,ordered-neurons,bllip-lg,111,npi_orc_ever,0.0,npi,Licensing,-0.29485645933014354,,56.38
136,ordered-neurons,bllip-lg,111,npi_src_any,0.0,npi,Licensing,-0.08393141945773525,,56.38
137,ordered-neurons,bllip-lg,111,npi_src_ever,0.0,npi,Licensing,-0.14473684210526316,,56.38
138,ordered-neurons,bllip-lg,111,npz_ambig,0.5416666666666666,npz,Garden-Path Effects,-0.11616161616161624,False,56.38
139,ordered-neurons,bllip-lg,111,npz_ambig_mod,0.3333333333333333,npz,Garden-Path Effects,-0.11395202020202017,True,56.38
140,ordered-neurons,bllip-lg,111,npz_obj,0.9583333333333334,npz,Garden-Path Effects,0.042613636363636576,False,56.38
141,ordered-neurons,bllip-lg,111,npz_obj_mod,0.9583333333333334,npz,Garden-Path Effects,0.12310606060606077,True,56.38
142,ordered-neurons,bllip-lg,111,number_orc,0.0,number,Agreement,-0.155103668261563,,56.38
143,ordered-neurons,bllip-lg,111,number_prep,0.5789473684210527,number,Agreement,0.2507974481658693,,56.38
144,ordered-neurons,bllip-lg,111,number_src,0.5263157894736842,number,Agreement,0.2296650717703349,,56.38
145,ordered-neurons,bllip-lg,111,reflexive_orc_fem,0.0,reflexive,Licensing,-0.012759170653907496,,56.38
